,subject_id,subject_id_ph1_df1,z_no_trust_df1,z_trust_df1,z_no_answer_df1,z_total_people_df1,Invalid_Domain_or_Sender_df1,Potent_Mal_Links_df1,Spelling_or_Grammar_df1,Appeal_to_Greed_df1,Appeal_to_Urgency_df1,Appeal_to_Authority_df1,Other_Phishy_Findings_df1,VeryTrustworthy_df1,Trustworthy_df1,Neither_Trust_df1,Untrustworthy_df1,VeryUntrustworthy_df1,VeryAppealing_df1,Appealing_df1,NeitherAppealing_df1,UnAppealing_df1,VeryUnAppealing_df1,malicious_df1,SensitivityRate_df1,VictimizationRate_df1,FalsePositiveRate_df1,SpecificityRate_df1,url_df1,if_malicious,malicious_guess,Present_Cue_Types_Guess,Website_Description,TrustWorthiness_Rating,Visual_Attractiveness_Rating,Comments,AISensitivityRate_df1,AIVictimizationRate_df1,AIFalsePositiveRate_df1,AISpecificityRate_df1,subject_id_ph1_df2,z_no_trust_df2,z_trust_df2,z_no_answer_df2,z_total_people_df2,Invalid_Domain_or_Sender_df2,Potent_Mal_Links_df2,Spelling_or_Grammar_df2,Appeal_to_Greed_df2,Appeal_to_Urgency_df2,Appeal_to_Authority_df2,Other_Phishy_Findings_df2,VeryTrustworthy_df2,Trustworthy_df2,Neither_Trust_df2,Untrustworthy_df2,VeryUntrustworthy_df2,VeryAppealing_df2,Appealing_df2,NeitherAppealing_df2,UnAppealing_df2,VeryUnAppealing_df2,malicious_df2,SensitivityRate_df2,VictimizationRate_df2,FalsePositiveRate_df2,SpecificityRate_df2,url_df2,maliciousness,Findings,Present Cue Types,Website Description,TrustWorthiness Rating,Visual Attractiveness Rating,response,AISensitivityRate_df2,AIVictimizationRate_df2,AIFalsePositiveRate_df2,AISpecificityRate_df2,AISensitivityRate,AIVictimizationRate,AIFalsePositiveRate,AISpecificityRate
84,52837461,52837461,7,7,1,14,2,0,1,0,2,0,1,0,2,4,5,3,0,1,3,9,1,True,0.5,0.5,,,https://panoptes-uploads.zooniverse.org/production/subject_location/032540a6-44d2-45e5-a1ab-4efefca80423.jpeg,True,Something's Phishy,Invalid Domain or Sender Potentially Malicious Link,"The website is purportedly for 'FreeRentalSite.com' and displays a login prompt, requesting the user's email address and password to enjoy newly enhanced features.",Untrustworthy,Neutral,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Potentially Malicious Link""
  ],
  ""Website Description"": ""The website is purportedly for 'FreeRentalSite.com' and displays a login prompt, requesting the user's email address and password to enjoy newly enhanced features."",
  ""Trustworthiness Rating"": ""Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",1.0,0.0,,,52837461,7,7,1,14,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0,2,4,5,3,0,1,3,9,1,True,0.5,0.5,,,https://panoptes-uploads.zooniverse.org/production/subject_location/032540a6-44d2-45e5-a1ab-4efefca80423.jpeg,True,Nothing Phishy Here,[],"This is a website for a company called FreeRentalSite.com. The website appears to offer property management services, including tenant screening and landlord software.",Neutral,Visually Unattractive or Unappealing,"{
 ""Findings"": ""Nothing Phishy Here"",
 ""Present Cue Types"": [],
 ""Website Description"": ""This is a website for a company called FreeRentalSite.com. The website appears to offer property management services, including tenant screening and landlord software."",
 ""TrustWorthiness Rating"": ""Neutral"",
 ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
",0.0,1.0,,,1.0,1.0,,
85,52837463,52837463,15,0,0,15,13,0,1,0,18,4,5,1,0,0,2,12,0,0,8,4,3,True,1.0,0.0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/6c307731-c365-434b-811e-5110df1559d5.jpeg,True,Something's Phishy,Invalid Domain or Sender Appeal to Action - Urgency Appeal to Action - Authority Other Phishy Findings,"The website image shows a warning for email account deactivation with a countdown timer, a field to enter a password, and a button labeled 'Verify the email'. There are navigational breadcrumbs at the bottom.",Very Untrustworthy,Visually Unattractive or Unappealing,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Appeal to Action - Urgency"",
    ""Appeal to Action - Authority"",
    ""Other Phishy Findings""
  ],
  ""Website Description"": ""The website image shows a warning for email account deactivation with a countdown timer, a field to enter a password, and a button labeled 'Verify the email'. There are navigational breadcrumbs at the bottom."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
```",1.0,0.0,,,52837463,15,0,0,15,13.0,0.0,1.0,0.0,18.0,4.0,5.0,1,0,0,2,12,0,0,8,4,3,True,1.0,0.0,,,https://panoptes-uploads.zooniverse.org/production/subject_location/6c307731-c365-434b-811e-5110df1559d5.jpeg,True,Something's Phishy,"['Appeal to Action - Urgency', 'Other Phishy Findings']","The image shows a simple website with an email account deactivation warning. It claims the user's email will be deactivated at a specific time and asks for the user's password to continue. It also has a button to ""Verify the email"".",Very Untrustworthy,Visually Unattractive or Unappealing,"{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Appeal to Action - Urgency"",
    ""Other Phishy Findings""
  ],
  ""Website Description"": ""The image shows a simple website with an email account deactivation warning. It claims the user's email will be deactivated at a specific time and asks for the user's password to continue. It also has a button to \""Verify the email\""."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
",1.0,0.0,,,2.0,0.0,,
86,52837464,52837464,4,11,0,15,1,0,7,0,0,0,5,0,4,6,3,2,0,1,8,5,1,True,0.2666666666666666,0.7333333333333333,,,https://panoptes-uploads.zooniverse.org/production/subject_location/d4f1c17b-bc69-494b-95bf-c4e2d2fd9353.jpeg,True,Nothing Phishy Here,,"The website appears to be a real estate listing platform, showing various properties for sale along with their details such as location, price, and size. There is a search functionality, and contact information for support is provided.",Neutral,Neutral,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The website appears to be a real estate listing platform, showing various properties for sale along with their details such as location, price, and size. There is a search functionality, and contact information for support is provided."",
  ""TrustWorthiness Rating"": ""Neutral"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",0.0,1.0,,,52837464,4,11,0,15,1.0,0.0,7.0,0.0,0.0,0.0,5.0,0,4,6,3,2,0,1,8,5,1,True,0.2666666666666666,0.7333333333333333,,,https://panoptes-uploads.zooniverse.org/production/subject_location/d4f1c17b-bc69-494b-95bf-c4e2d2fd9353.jpeg,True,Nothing Phishy Here,[],"The image shows a webpage for a real estate website named homefairbd.com. The page allows users to search for properties using various criteria such as city, area, and keywords. The search results display available properties with brief details such as price, location, and time since posting.",Neutral,Visually Unattractive or Unappealing,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: The image shows a webpage for a real estate website named homefairbd.com. The page allows users to search for properties using various criteria such as city, area, and keywords. The search results display available properties with brief details such as price, location, and time since posting.
TrustWorthiness Rating: Neutral
Visual Attractiveness Rating: Visually Unattractive or Unappealing 
",0.0,1.0,,,0.0,2.0,,
87,52837465,52837465,13,2,0,15,4,0,1,0,0,1,1,0,2,4,7,2,1,4,6,2,2,True,0.8666666666666667,0.1333333333333333,,,https://panoptes-uploads.zooniverse.org/production/subject_location/01d9c2da-d5bc-4215-988e-e5300348fb39.jpeg,True,Something's Phishy,Invalid Domain or Sender Potentially Malicious Link Other Phishy Findings,"The image shows a login page for a website that is presumably involved with 'Copy Trading.' It features a login form for entering an 'Account ID' and 'Password,' and has a 'LOGIN' button.",Untrustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Potentially Malicious Link"",
    ""Other Phishy Findings""
  ],
  ""Website Description"": ""The image shows a login page for a website that is presumably involved with 'Copy Trading.' It features a login form for entering an 'Account ID' and 'Password,' and has a 'LOGIN' button."",
  ""TrustWorthiness Rating"": ""Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```",1.0,0.0,,,52837465,13,2,0,15,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0,2,4,7,2,1,4,6,2,2,True,0.8666666666666667,0.1333333333333333,,,https://panoptes-uploads.zooniverse.org/production/subject_location/01d9c2da-d5bc-4215-988e-e5300348fb39.jpeg,True,Something's Phishy,['Other Phishy Findings'],"The website promotes copy trading, a high-risk investment strategy.",Very Untrustworthy,Neutral,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Other Phishy Findings""
 ],
 ""Website Description"": ""The website promotes copy trading, a high-risk investment strategy."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Neutral""
}
",1.0,0.0,,,2.0,0.0,,
88,52837467,52837467,4,10,1,14,4,0,0,0,0,0,1,2,6,3,2,1,1,9,3,1,0,True,0.2857142857142857,0.7142857142857143,,,https://panoptes-uploads.zooniverse.org/production/subject_location/ed07e7f6-2e4c-44a3-960b-97dfb848cfca.jpeg,True,Something's Phishy,Invalid Domain or Sender Potentially Malicious Link Other Phishy Findings,"The webpage appears to be offering life insurance quotes and displays a banner with a call-to-action button. The URL visible in the image appears suspicious because of the query parameters that seem out of place for a legitimate insurance provider's website. Furthermore, the website's domain does not match well-known insurance providers, lacking credibility.",Untrustworthy,Neutral,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Potentially Malicious Link"",
    ""Other Phishy Findings""
  ],
  ""Website Description"": ""The webpage appears to be offering life insurance quotes and displays a banner with a call-to-action button. The URL visible in the image appears suspicious because of the query parameters that seem out of place for a legitimate insurance provider's website. Furthermore, the website's domain does not match well-known insurance providers, lacking credibility."",
  ""TrustWorthiness Rating"": ""Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",1.0,0.0,,,52837467,4,10,1,14,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6,3,2,1,1,9,3,1,0,True,0.2857142857142857,0.7142857142857143,,,https://panoptes-uploads.zooniverse.org/production/subject_location/ed07e7f6-2e4c-44a3-960b-97dfb848cfca.jpeg,True,Nothing Phishy Here,[],This is a screenshot of a website named Easy Quotes For You. The website is about life insurance plans. ,Trustworthy,Visually Attractive or Appealing ,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: This is a screenshot of a website named Easy Quotes For You. The website is about life insurance plans. 
TrustWorthiness Rating: Trustworthy
Visual Attractiveness Rating: Visually Attractive or Appealing 
",0.0,1.0,,,1.0,1.0,,
89,52837510,52837510,7,8,0,15,5,0,0,1,0,0,1,0,5,5,5,0,3,3,6,3,0,True,0.4666666666666667,0.5333333333333333,,,https://panoptes-uploads.zooniverse.org/production/subject_location/01296372-6d3c-4b1e-8459-0cca3569d095.jpeg,True,Something's Phishy,Invalid Domain or Sender,"The website purports to be a setup page for Trezor hardware wallets, specifically targeting users who have recently purchased a Trezor device. It offers options to set up either a Trezor One or a Trezor Model T device.",Untrustworthy,Neutral,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender""
  ],
  ""Website Description"": ""The website purports to be a setup page for Trezor hardware wallets, specifically targeting users who have recently purchased a Trezor device. It offers options to set up either a Trezor One or a Trezor Model T device."",
  ""TrustWorthiness Rating"": ""Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",1.0,0.0,,,52837510,7,8,0,15,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0,5,5,5,0,3,3,6,3,0,True,0.4666666666666667,0.5333333333333333,,,https://panoptes-uploads.zooniverse.org/production/subject_location/01296372-6d3c-4b1e-8459-0cca3569d095.jpeg,True,Nothing Phishy Here,[],This is a website selling cryptocurrency wallets. The user is asked to choose between two different wallet options to continue with their purchase. ,Trustworthy,Visually Attractive or Appealing ,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: This is a website selling cryptocurrency wallets. The user is asked to choose between two different wallet options to continue with their purchase. 
TrustWorthiness Rating: Trustworthy
Visual Attractiveness Rating: Visually Attractive or Appealing 
",0.0,1.0,,,1.0,1.0,,
90,52837513,52837513,14,1,0,15,14,0,2,1,2,1,3,2,5,0,5,3,3,10,2,0,0,True,0.9333333333333332,0.066666667,,,https://panoptes-uploads.zooniverse.org/production/subject_location/2ee83280-f38d-4320-933e-adf4ab35f6c1.jpeg,True,Something's Phishy,Invalid Domain or Sender,"The image shows a webpage that mimics the appearance of PayPal's official website, with sections to buy, sell, and transfer money. It features a large banner stating, 'Redesigned with you in mind', and has a picturesque background of two people sitting by a lake with mountains in the distance.",Very Untrustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender""
  ],
  ""Website Description"": ""The image shows a webpage that mimics the appearance of PayPal's official website, with sections to buy, sell, and transfer money. It features a large banner stating, 'Redesigned with you in mind', and has a picturesque background of two people sitting by a lake with mountains in the distance."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```",1.0,0.0,,,52837513,14,1,0,15,14.0,0.0,2.0,1.0,2.0,1.0,3.0,2,5,0,5,3,3,10,2,0,0,True,0.9333333333333332,0.0666666666666666,,,https://panoptes-uploads.zooniverse.org/production/subject_location/2ee83280-f38d-4320-933e-adf4ab35f6c1.jpeg,True,Nothing Phishy Here,[],This is a screenshot of the PayPal website homepage. ,Very Trustworthy,Visually Attractive or Appealing ,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: This is a screenshot of the PayPal website homepage. 
TrustWorthiness Rating: Very Trustworthy
Visual Attractiveness Rating: Visually Attractive or Appealing 
",0.0,1.0,,,1.0,1.0,,
91,52837515,52837515,9,4,2,13,6,0,0,0,1,1,2,0,3,2,6,2,0,5,3,3,2,True,0.6923076923076923,0.3076923076923077,,,https://panoptes-uploads.zooniverse.org/production/subject_location/dbe9f54a-4d69-48ac-94bd-731a32c61b45.jpeg,True,Something's Phishy,Invalid Domain or Sender,"The image depicts a login page for a service called 'FastNet Classic' claiming to be associated with ASB Bank. It has fields for a username and password, and options for the user to log in, remember credentials, or register as a new customer.",Untrustworthy,Neutral,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender""
  ],
  ""Website Description"": ""The image depicts a login page for a service called 'FastNet Classic' claiming to be associated with ASB Bank. It has fields for a username and password, and options for the user to log in, remember credentials, or register as a new customer."",
  ""TrustWorthiness Rating"": ""Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",1.0,0.0,,,52837515,9,4,2,13,6.0,0.0,0.0,0.0,1.0,1.0,2.0,0,3,2,6,2,0,5,3,3,2,True,0.6923076923076923,0.3076923076923077,,,https://panoptes-uploads.zooniverse.org/production/subject_location/dbe9f54a-4d69-48ac-94bd-731a32c61b45.jpeg,True,Nothing Phishy Here,[],The image appears to be a screenshot of the ASB bank login page.,Trustworthy,Neutral,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: The image appears to be a screenshot of the ASB bank login page.
TrustWorthiness Rating: Trustworthy
Visual Attractiveness Rating: Neutral 
",0.0,1.0,,,1.0,1.0,,
92,52837517,52837517,14,1,0,15,13,0,7,0,1,1,0,1,4,1,8,1,0,6,8,1,0,True,0.9333333333333332,0.066666667,,,https://panoptes-uploads.zooniverse.org/production/subject_location/a9d2acb7-66ab-4c54-898a-1e5ab49042f2.jpeg,True,Something's Phishy,Invalid Domain or Sender Potentially Malicious Link,The website in the image mimics a OneDrive login page offering options to log in with various email providers.,Very Untrustworthy,Visually Unattractive or Unappealing,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Potentially Malicious Link""
  ],
  ""Website Description"": ""The website in the image mimics a OneDrive login page offering options to log in with various email providers."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
```",1.0,0.0,,,52837517,14,1,0,15,13.0,0.0,7.0,0.0,1.0,1.0,0.0,1,4,1,8,1,0,6,8,1,0,True,0.9333333333333332,0.0666666666666666,,,https://panoptes-uploads.zooniverse.org/production/subject_location/a9d2acb7-66ab-4c54-898a-1e5ab49042f2.jpeg,True,Something's Phishy,"['Invalid Domain or Sender', 'Potentially Malicious Link']","The website prompts the user to log in with their Office 365, Outlook, or other email accounts to view a shared file.",Very Untrustworthy,Neutral,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Invalid Domain or Sender"",
  ""Potentially Malicious Link""
 ],
 ""Website Description"": ""The website prompts the user to log in with their Office 365, Outlook, or other email accounts to view a shared file."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Neutral""
}
",1.0,0.0,,,2.0,0.0,,
93,52837519,52837519,14,1,0,15,11,0,2,1,2,7,18,0,1,2,5,7,0,1,6,7,1,True,0.9333333333333332,0.066666667,,,https://panoptes-uploads.zooniverse.org/production/subject_location/cdc83f65-c3a4-4b7d-aedf-56fa37b8ac01.jpeg,True,Something's Phishy,Invalid Domain or Sender Potentially Malicious Link Other Phishy Findings,The website prompts the user to confirm their email to download a document and appears to mimic an Adobe PDF download page.,Very Untrustworthy,Neutral,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Potentially Malicious Link"",
    ""Other Phishy Findings""
  ],
  ""Website Description"": ""The website prompts the user to confirm their email to download a document and appears to mimic an Adobe PDF download page."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",1.0,0.0,,,52837519,14,1,0,15,11.0,0.0,2.0,1.0,2.0,7.0,18.0,0,1,2,5,7,0,1,6,7,1,True,0.9333333333333332,0.0666666666666666,,,https://panoptes-uploads.zooniverse.org/production/subject_location/cdc83f65-c3a4-4b7d-aedf-56fa37b8ac01.jpeg,True,Something's Phishy,['Appeal to Action - Urgency '],The image shows a fake Adobe PDF online page which asks for email id and password.,Very Untrustworthy,Visually Unattractive or Unappealing,"Findings: Something's Phishy
Present Cue Types: ['Appeal to Action - Urgency ']
Website Description: The image shows a fake Adobe PDF online page which asks for email id and password.
TrustWorthiness Rating: Very Untrustworthy
Visual Attractiveness Rating: Visually Unattractive or Unappealing
",1.0,0.0,,,2.0,0.0,,
94,52837521,52837521,14,1,0,15,11,0,0,0,0,2,5,0,1,0,8,6,0,2,6,6,1,True,0.9333333333333332,0.066666667,,,https://panoptes-uploads.zooniverse.org/production/subject_location/1ffe1f4a-233a-4483-9a80-ff4d244030b8.jpeg,True,Something's Phishy,Invalid Domain or Sender,"The webpage implies it is an Amazon sign-in page, but the domain in the address bar does not correspond to the official Amazon website.",Very Untrustworthy,Neutral,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [""Invalid Domain or Sender""],
  ""Website Description"": ""The webpage implies it is an Amazon sign-in page, but the domain in the address bar does not correspond to the official Amazon website."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",1.0,0.0,,,52837521,14,1,0,15,11.0,0.0,0.0,0.0,0.0,2.0,5.0,0,1,0,8,6,0,2,6,6,1,True,0.9333333333333332,0.0666666666666666,,,https://panoptes-uploads.zooniverse.org/production/subject_location/1ffe1f4a-233a-4483-9a80-ff4d244030b8.jpeg,True,Something's Phishy,['Invalid Domain or Sender'],"This is a login page attempting to mimic the look and feel of Amazon. However, the domain shown in the address bar does not belong to Amazon.",Very Untrustworthy,Neutral,"{
 ""Findings"": ""Something's Phishy"",
 ""Present Cue Types"": [
  ""Invalid Domain or Sender""
 ],
 ""Website Description"": ""This is a login page attempting to mimic the look and feel of Amazon. However, the domain shown in the address bar does not belong to Amazon."",
 ""TrustWorthiness Rating"": ""Very Untrustworthy"",
 ""Visual Attractiveness Rating"": ""Neutral""
}
",1.0,0.0,,,2.0,0.0,,
95,52837522,52837522,14,1,0,15,16,0,1,0,1,0,4,4,4,2,2,3,3,8,4,0,0,True,0.9333333333333332,0.066666667,,,https://panoptes-uploads.zooniverse.org/production/subject_location/da414ce1-e72b-4180-b143-4d3c12fa539d.jpeg,True,Something's Phishy,Invalid Domain or Sender,"The image appears to mimic the layout of a legitimate Amazon shopping site, complete with product listings, sign-in prompt, and a variety of clickable categories and deals.",Untrustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender""
  ],
  ""Website Description"": ""The image appears to mimic the layout of a legitimate Amazon shopping site, complete with product listings, sign-in prompt, and a variety of clickable categories and deals."",
  ""TrustWorthiness Rating"": ""Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```",1.0,0.0,,,52837522,14,1,0,15,16.0,0.0,1.0,0.0,1.0,0.0,4.0,4,4,2,2,3,3,8,4,0,0,True,0.9333333333333332,0.0666666666666666,,,https://panoptes-uploads.zooniverse.org/production/subject_location/da414ce1-e72b-4180-b143-4d3c12fa539d.jpeg,True,Nothing Phishy Here,[],"The image is a screenshot of the Amazon.com homepage. The screenshot shows various products, including wristbands, shoes, and clothing. It also includes sections for customer service, today's deals, new releases, and more.",Very Trustworthy,Visually Attractive or Appealing ,"Findings: Nothing Phishy Here
Present Cue Types: []
Website Description: The image is a screenshot of the Amazon.com homepage. The screenshot shows various products, including wristbands, shoes, and clothing. It also includes sections for customer service, today's deals, new releases, and more.
TrustWorthiness Rating: Very Trustworthy
Visual Attractiveness Rating: Visually Attractive or Appealing 
",0.0,1.0,,,1.0,1.0,,
96,52837524,52837524,8,6,1,14,0,0,3,0,0,0,7,0,1,7,3,3,0,0,1,3,10,True,0.5714285714285714,0.4285714285714285,,,https://panoptes-uploads.zooniverse.org/production/subject_location/31bc7843-be5e-4edc-bea0-350ee60c2d49.jpeg,True,Something's Phishy,Invalid Domain or Sender Other Phishy Findings,"The screenshot appears to be of a webpage designed to present a company offering various products, which include COVID products, safety documents, and other categories like solutions and services. It attempts to mimic a legitimate business website with a menu including the sections 'About Us', 'Products', 'Contact Us', and more.",Untrustworthy,Visually Unattractive or Unappealing,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender"",
    ""Other Phishy Findings""
  ],
  ""Website Description"": ""The screenshot appears to be of a webpage designed to present a company offering various products, which include COVID products, safety documents, and other categories like solutions and services. It attempts to mimic a legitimate business website with a menu including the sections 'About Us', 'Products', 'Contact Us', and more."",
  ""TrustWorthiness Rating"": ""Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
```

Please note that the ability to identify whether a website is phishing or not can be limited by an image's resolution, what is visible in a single screenshot, or without being able to interact with the actual web page. In this case, the assessment relies only on observable details in the provided image.",1.0,0.0,,,52837524,8,6,1,14,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0,1,7,3,3,0,0,1,3,10,True,0.5714285714285714,0.4285714285714285,,,https://panoptes-uploads.zooniverse.org/production/subject_location/31bc7843-be5e-4edc-bea0-350ee60c2d49.jpeg,True,Nothing Phishy Here,[],"The provided image displays a sparse website for 'Usha Armour Pvt Ltd'. It features a simple navigation menu with sections like 'About,' 'Products,' 'Covid products,' 'Safety Documents,' 'Solutions,' 'Services,' and 'Contact Us'.  It lists various solutions applicable to different places like schools, factories, hotels, etc. It also provides contact information, including a phone number and an email address. The rest of the page showcases product categories with placeholders for product images and descriptions, including 'Automatic External defibrillator' and 'Bump Cap'.",Neutral,Very Visually Unattractive or Unappealing,"{
 ""Findings"": ""Nothing Phishy Here"",
 ""Present Cue Types"": [],
 ""Website Description"": ""The provided image displays a sparse website for 'Usha Armour Pvt Ltd'. It features a simple navigation menu with sections like 'About,' 'Products,' 'Covid products,' 'Safety Documents,' 'Solutions,' 'Services,' and 'Contact Us'.  It lists various solutions applicable to different places like schools, factories, hotels, etc. It also provides contact information, including a phone number and an email address. The rest of the page showcases product categories with placeholders for product images and descriptions, including 'Automatic External defibrillator' and 'Bump Cap'."",
 ""TrustWorthiness Rating"": ""Neutral"",
 ""Visual Attractiveness Rating"": ""Very Visually Unattractive or Unappealing""
}
",0.0,1.0,,,1.0,1.0,,
97,52837526,52837526,13,5,0,18,7,0,13,0,0,1,5,0,1,2,10,5,0,0,9,6,3,True,0.7222222222222222,0.2777777777777778,,,https://panoptes-uploads.zooniverse.org/production/subject_location/7a4a7199-07fe-4581-9f29-02f5ce9eaba0.jpeg,True,Nothing Phishy Here,,The image shows a webpage from SiteGuarding.com indicating that access is not allowed from the user's IP or country. Instructions for contacting the webmaster or disabling GEO protection in WordPress are provided.,Neutral,Neutral,"```json
{
  ""Findings"": ""Nothing Phishy Here"",
  ""Present Cue Types"": [],
  ""Website Description"": ""The image shows a webpage from SiteGuarding.com indicating that access is not allowed from the user's IP or country. Instructions for contacting the webmaster or disabling GEO protection in WordPress are provided."",
  ""TrustWorthiness Rating"": ""Neutral"",
  ""Visual Attractiveness Rating"": ""Neutral""
}
```",0.0,1.0,,,52837526,13,5,0,18,7.0,0.0,13.0,0.0,0.0,1.0,5.0,0,1,2,10,5,0,0,9,6,3,True,0.7222222222222222,0.2777777777777778,,,https://panoptes-uploads.zooniverse.org/production/subject_location/7a4a7199-07fe-4581-9f29-02f5ce9eaba0.jpeg,True,Nothing Phishy Here,[],This is a simple webpage with a message indicating that access is not allowed from the user's IP address or country. It suggests contacting the webmaster if it's a mistake and provides instructions for enabling DEBUG mode in WordPress to disable GEO Protection.,Neutral,Visually Unattractive or Unappealing,"{
 ""Findings"": ""Nothing Phishy Here"",
 ""Present Cue Types"": [],
 ""Website Description"": ""This is a simple webpage with a message indicating that access is not allowed from the user's IP address or country. It suggests contacting the webmaster if it's a mistake and provides instructions for enabling DEBUG mode in WordPress to disable GEO Protection."",
 ""TrustWorthiness Rating"": ""Neutral"",
 ""Visual Attractiveness Rating"": ""Visually Unattractive or Unappealing""
}
",0.0,1.0,,,0.0,2.0,,
98,52837527,52837527,12,3,0,15,10,0,1,0,0,1,1,1,3,4,3,4,1,7,4,3,0,True,0.8,0.2,,,https://panoptes-uploads.zooniverse.org/production/subject_location/df38bff4-4a21-4f75-ae7c-9fb8dc484dd4.jpeg,True,Something's Phishy,Invalid Domain or Sender,The website purports to be a PayPal page and is styled to look like an official PayPal login or sign up page.,Very Untrustworthy,Visually Attractive or Appealing,"```json
{
  ""Findings"": ""Something's Phishy"",
  ""Present Cue Types"": [
    ""Invalid Domain or Sender""
  ],
  ""Website Description"": ""The website purports to be a PayPal page and is styled to look like an official PayPal login or sign up page."",
  ""TrustWorthiness Rating"": ""Very Untrustworthy"",
  ""Visual Attractiveness Rating"": ""Visually Attractive or Appealing""
}
```",1.0,0.0,,,52837527,12,3,0,15,10.0,0.0,1.0,0.0,0.0,1.0,1.0,1,3,4,3,4,1,7,4,3,0,True,0.8,0.2,,,https://panoptes-uploads.zooniverse.org/production/subject_location/df38bff4-4a21-4f75-ae7c-9fb8dc484dd4.jpeg,True,Something's Phishy,Invalid Domain or Sender,The image is of a fraudulent PayPal website. The domain name in the address bar is not a legitimate PayPal domain. ,Very Untrustworthy,Neutral,"Findings: Something's Phishy
Present Cue Types: Invalid Domain or Sender
Website Description: The image is of a fraudulent PayPal website. The domain name in the address bar is not a legitimate PayPal domain. 
TrustWorthiness Rating: Very Untrustworthy
Visual Attractiveness Rating: Neutral
",1.0,0.0,,,2.0,0.0,,
